Id;pais;provincia_departamento;ciudad;property_type;operation_type;rooms;bedrooms;bathrooms;surface_total;currency;price
6896;Argentina;Cordoba;Cordoba;Departamento;Venta;3;3;3;63;USD;65000
6897;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;5;4;3;192;USD;390000
6898;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;70;USD;59180
6899;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;70;USD;71566
6900;Argentina;Capital Federal;Flores;Departamento;Venta;4;3;1;84;USD;159000
6901;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;87;USD;73810
6902;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;35;USD;87000
6903;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;1;95;USD;280000
6904;Argentina;Capital Federal;Villa Ortuzar;Departamento;Venta;3;2;1;60;USD;182000
6905;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;2;80;USD;350000
6906;Argentina;Capital Federal;San Nicolas;Departamento;Venta;2;1;1;36;USD;78000
6907;Argentina;Bs.As. G.B.A. Zona Sur;Quilmes;Departamento;Venta;2;1;1;58;USD;105000
6908;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;4;3;1;61;USD;138000
6909;Argentina;Santa Fe;Rosario;Departamento;Venta;3;1;1;50;USD;84000
6910;Argentina;Santa Fe;Rosario;Departamento;Venta;4;3;3;154;USD;750000
6911;Argentina;Capital Federal;San Nicolas;Departamento;Venta;4;3;1;59;USD;109000
6912;Argentina;Capital Federal;Recoleta;Departamento;Venta;4;3;2;208;USD;940000
6913;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;40;USD;83000
6914;Argentina;Capital Federal;Parque Centenario;Departamento;Venta;3;2;1;50;USD;138000
6915;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;65;USD;67713
6916;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;82;USD;41839
6917;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;3;90;USD;78448
6918;Argentina;Capital Federal;Flores;Departamento;Venta;4;3;2;128;USD;250000
6919;Argentina;Santa Fe;Rosario;Departamento;Venta;3;2;1;61;USD;107568
6920;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;3;170;USD;119736
6921;Colombia;Valle del Cauca;Cali;Apartamento;Venta;4;4;5;181;USD;250482
6922;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;33;USD;95000
6923;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;86;USD;64685
6924;Argentina;Capital Federal;Caballito;Departamento;Venta;4;3;2;170;USD;370000
6925;Argentina;Capital Federal;Monserrat;Departamento;Venta;2;1;1;35;USD;80000
6926;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;4;2;1;85;USD;125000
6927;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;58;USD;46243
6928;Argentina;Capital Federal;Colegiales;Departamento;Venta;2;1;1;50;USD;159000
6929;Colombia;Antioquia;Medellin;Apartamento;Venta;2;2;2;115;USD;231214
6930;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;48;USD;100000
6931;Colombia;Antioquia;Sabaneta;Apartamento;Venta;3;3;2;72;USD;90834
6932;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;35;USD;65900
6933;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;65;USD;150000
6934;Colombia;Antioquia;Bello;Apartamento;Venta;2;2;2;70;USD;53950
6935;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;110;USD;115000
6936;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;47;USD;78000
6937;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;1;1;1;27;USD;85000
6938;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;80;USD;132122
6939;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;57;USD;52298
6940;Argentina;Capital Federal;Nunez;Departamento;Venta;2;1;2;75;USD;230000
6941;Argentina;Capital Federal;Flores;Departamento;Venta;4;3;1;82;USD;149900
6942;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;55;USD;130000
6943;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;1;55;USD;31654
6944;Argentina;Cordoba;Cordoba;Departamento;Venta;4;2;1;71;USD;129999
6945;Argentina;Capital Federal;Belgrano;Departamento;Venta;2;1;2;64;USD;209533
6946;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;70;USD;78448
6947;Argentina;Capital Federal;Palermo;Departamento;Venta;5;2;1;111;USD;359000
6948;Argentina;Capital Federal;Balvanera;Departamento;Venta;2;1;1;36;USD;75000
6949;Colombia;Atlantico;Barranquilla;Apartamento;Venta;4;4;3;193;USD;110102
6950;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;60;USD;48170
6951;Argentina;Cordoba;Villa Carlos Paz;Departamento;Venta;3;1;1;58;USD;81900
6952;Colombia;Antioquia;Medellin;Apartamento;Venta;3;3;3;112;USD;112854
6953;Colombia;Magdalena;Santa Marta;Apartamento;Venta;3;3;1;48;USD;31654
6954;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;66;USD;52849
6955;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;3;2;1;65;USD;185000
6956;Argentina;Neuquen;San Martin de los Andes;Departamento;Venta;3;2;2;89;USD;260000
6957;Argentina;Capital Federal;Tribunales;Departamento;Venta;2;1;1;32;USD;115000
6958;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;1;1;1;60;USD;170000
6959;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;121;USD;137627
6960;Colombia;Atlantico;Barranquilla;Apartamento;Venta;1;1;2;40;USD;34021
6961;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;122;USD;178915
6962;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;3;167;USD;379851
6963;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;39;USD;95000
6964;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;40;USD;63000
6965;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;280;USD;154143
6966;Colombia;Cundinamarca;Madrid;Apartamento;Venta;3;3;2;60;USD;41288
6967;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;30;USD;41000
6968;Argentina;Bs.As. G.B.A. Zona Oeste;Moran;Departamento;Venta;2;1;1;40;USD;75000
6969;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;4;140;USD;163776
6970;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;169;USD;495458
6971;Argentina;Bs.As. G.B.A. Zona Oeste;Tres de Febrero;Departamento;Venta;3;2;2;67;USD;155000
6972;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;96;USD;121112
6973;Argentina;Neuquen;Neuquen;Departamento;Venta;5;2;1;55;USD;120000
6974;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;1;55;USD;150000
6975;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;151;USD;378143
6976;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;50;USD;105000
6977;Argentina;Capital Federal;Balvanera;Departamento;Venta;4;3;2;81;USD;156000
6978;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;81;USD;75695
6979;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;220;USD;701899
6980;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;3;2;1;62;USD;240000
6981;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
6982;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;191;USD;324938
6983;Argentina;Capital Federal;Caballito;Departamento;Venta;3;2;1;55;USD;139000
6984;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;2;95;USD;110102
6985;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;70;USD;71566
6986;Argentina;Buenos Aires Interior;Exaltacion de la Cruz;Departamento;Venta;3;2;1;72;USD;96000
6987;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;63;USD;41288
6988;Argentina;Cordoba;Cordoba;Departamento;Venta;6;3;3;200;USD;250000
6989;Argentina;Capital Federal;Villa Ortuzar;Departamento;Venta;2;1;1;38;USD;85000
6990;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
6991;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;62;USD;140000
6992;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;2;66;USD;150000
6993;Argentina;Capital Federal;Villa Urquiza;Departamento;Venta;1;1;1;83;USD;299000
6994;Argentina;Capital Federal;Villa del Parque;Departamento;Venta;2;1;1;61;USD;172999
6995;Argentina;Capital Federal;Villa Devoto;Departamento;Venta;2;1;1;39;USD;108000
6996;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;33;USD;65900
6997;Argentina;Capital Federal;Barracas;Departamento;Venta;3;2;2;66;USD;160000
6998;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;94;USD;55051
6999;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;47;USD;95000
7000;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;62;USD;59180
7001;Argentina;Capital Federal;Belgrano;Departamento;Venta;2;1;1;38;USD;90000
7002;Argentina;Capital Federal;San Cristobal;Departamento;Venta;2;1;1;49;USD;75000
7003;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;3;2;1;63;USD;185000
7004;Colombia;Antioquia;Marinilla;Apartamento;Venta;3;3;1;52;USD;41288
7005;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;125;USD;112854
7006;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;92;USD;48170
7007;Argentina;Capital Federal;Villa del Parque;Departamento;Venta;3;2;1;66;USD;175000
7008;Argentina;Buenos Aires Interior;Bahia Blanca;Departamento;Venta;2;2;2;64;USD;95000
7009;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;2;2;52;USD;74000
7010;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;48;USD;93000
7011;Colombia;Antioquia;Itagui;Apartamento;Venta;2;2;2;104;USD;206441
7012;Argentina;Capital Federal;Monserrat;Departamento;Venta;2;1;1;35;USD;88000
7013;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;33;USD;65900
7014;Argentina;Capital Federal;Paternal;Departamento;Venta;2;1;1;42;USD;100000
7015;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;79;USD;100468
7016;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;4;2;3;120;USD;189000
7017;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;2;52;USD;180000
7018;Colombia;Atlantico;Barranquilla;Apartamento;Venta;1;1;1;45;USD;41013
7019;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;41;USD;114000
7020;Colombia;Antioquia;Sabaneta;Apartamento;Venta;3;3;3;97;USD;116983
7021;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;45;USD;49500
7022;Colombia;Antioquia;Medellin;Apartamento;Venta;4;4;5;307;USD;302780
7023;Colombia;Santander;Bucaramanga;Apartamento;Venta;3;3;2;75;USD;38536
7024;Argentina;Santa Fe;Rosario;Departamento;Venta;4;2;3;112;USD;260000
7025;Argentina;Capital Federal;Versalles;Departamento;Venta;1;1;1;23;USD;49200
7026;Argentina;Capital Federal;Constitucion;Departamento;Venta;2;1;1;35;USD;55000
7027;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;2;1;70;USD;65000
7028;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;148;USD;236719
7029;Argentina;Capital Federal;Puerto Madero;Departamento;Venta;2;1;1;112;USD;590000
7030;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;3;155;USD;454170
7031;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;43;USD;117000
7032;Colombia;Atlantico;Barranquilla;Apartamento;Venta;1;1;1;45;USD;39912
7033;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;1;58;USD;158000
7034;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;60;USD;71566
7035;Argentina;Bs.As. G.B.A. Zona Oeste;Moran;Departamento;Venta;2;1;1;31;USD;48000
7036;Argentina;Capital Federal;Congreso;Departamento;Venta;4;3;1;61;USD;135000
7037;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;3;2;1;85;USD;238300
7038;Colombia;Antioquia;Sabaneta;Apartamento;Venta;2;2;2;64;USD;77071
7039;Colombia;Valle del Cauca;Cali;Apartamento;Venta;4;4;4;235;USD;88081
7040;Argentina;Capital Federal;Villa Pueyrredon;Departamento;Venta;2;1;1;33;USD;109900
7041;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;37;USD;119900
7042;Argentina;Bs.As. G.B.A. Zona Oeste;La Matanza;Departamento;Venta;2;1;1;39;USD;95000
7043;Argentina;Capital Federal;Las Canitas;Departamento;Venta;4;3;3;116;USD;485979
7044;Argentina;Capital Federal;Villa Urquiza;Departamento;Venta;2;1;1;45;USD;85000
7045;Argentina;Capital Federal;Boca;Departamento;Venta;3;2;1;51;USD;75000
7046;Argentina;Capital Federal;Palermo;Departamento;Venta;6;3;2;298;USD;1680000
7047;Argentina;Bs.As. G.B.A. Zona Norte;San Miguel;Departamento;Venta;2;1;1;56;USD;89600
7048;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;150;USD;192678
7049;Colombia;Antioquia;Bello;Apartamento;Venta;2;2;1;45;USD;37159
7050;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;147;USD;173410
7051;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;72;USD;71566
7052;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;68;USD;72942
7053;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;44;USD;125000
7054;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;3;2;2;64;USD;159000
7055;Argentina;Bs.As. G.B.A. Zona Sur;Quilmes;Departamento;Venta;3;2;1;98;USD;183000
7056;Argentina;Capital Federal;Recoleta;Departamento;Venta;4;3;3;142;USD;400000
7057;Colombia;Antioquia;Medellin;Apartamento;Venta;3;3;2;93;USD;78448
7058;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;2;1;1;42;USD;85000
7059;Argentina;Capital Federal;Caballito;Departamento;Venta;3;2;1;84;USD;265000
7060;Argentina;Capital Federal;San Telmo;Departamento;Venta;3;2;2;70;USD;140000
7061;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;168;USD;261492
7062;Argentina;Capital Federal;Centro / Microcentro;Departamento;Venta;3;2;1;65;USD;130000
7063;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;42;USD;100000
7064;Argentina;Capital Federal;Floresta;Departamento;Venta;2;1;1;43;USD;98000
7065;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;33;USD;90000
7066;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;50;USD;220000
7067;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;64;USD;68814
7068;Colombia;Antioquia;Bello;Apartamento;Venta;2;2;1;60;USD;21745
7069;Colombia;Risaralda;Pereira;Apartamento;Venta;3;3;2;80;USD;72942
7070;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;99;USD;85329
7071;Argentina;Capital Federal;Parque Centenario;Departamento;Venta;4;3;3;101;USD;250000
7072;Argentina;Capital Federal;Recoleta;Departamento;Venta;5;3;3;335;USD;2200000
7073;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;39;USD;74900
7074;Argentina;Bs.As. G.B.A. Zona Norte;San Isidro;Departamento;Venta;4;3;3;114;USD;470000
7075;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;73;USD;59180
7076;Argentina;Bs.As. G.B.A. Zona Oeste;La Matanza;Departamento;Venta;3;2;1;55;USD;72000
7077;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;37;USD;95000
7078;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;41;USD;77000
7079;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;3;2;1;43;USD;72500
7080;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;2;56;USD;115607
7081;Argentina;Buenos Aires Interior;Tandil;Departamento;Venta;3;2;2;90;USD;170000
7082;Colombia;Meta;San Martin;Apartamento;Venta;2;2;1;36;USD;57528
7083;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;2;1;1;45;USD;75000
7084;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;47000
7085;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;65;USD;59180
7086;Colombia;Antioquia;Envigado;Apartamento;Venta;4;4;2;107;USD;66061
7087;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;3;2;1;59;USD;113000
7088;Argentina;Capital Federal;Palermo;Departamento;Venta;5;3;3;194;USD;750000
7089;Argentina;Capital Federal;Almagro;Departamento;Venta;3;2;1;50;USD;140000
7090;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;76;USD;137627
7091;Argentina;Santa Fe;Santa Fe;Departamento;Venta;3;1;1;58;USD;83000
7092;Argentina;Capital Federal;Congreso;Departamento;Venta;2;1;1;40;USD;97000
7093;Argentina;Capital Federal;San Telmo;Departamento;Venta;3;2;1;44;USD;85000
7094;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;2;1;1;44;USD;79200
7095;Argentina;Cordoba;Cordoba;Departamento;Venta;5;3;1;65;USD;69000
7096;Argentina;Capital Federal;Balvanera;Departamento;Venta;5;3;2;103;USD;195000
7097;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;104;USD;109827
7098;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;31;USD;73000
7099;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;66;USD;168000
7100;Argentina;Capital Federal;Balvanera;Departamento;Venta;5;4;1;130;USD;250000
7101;Argentina;Bs.As. G.B.A. Zona Sur;Lanus;Departamento;Venta;1;1;1;18;USD;49900
7102;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;4;176;USD;185797
7103;Argentina;Capital Federal;Palermo;Departamento;Venta;5;4;5;306;USD;2300000
7104;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;2;101;USD;126617
7105;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;4;3;3;120;USD;250000
7106;Argentina;Bs.As. G.B.A. Zona Oeste;La Matanza;Departamento;Venta;2;1;1;38;USD;73000
7107;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;3;2;1;51;USD;115000
7108;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;63;USD;49546
7109;Argentina;Capital Federal;Villa del Parque;Departamento;Venta;2;1;1;47;USD;89900
7110;Argentina;Mendoza;Godoy Cruz;Departamento;Venta;5;3;2;80;USD;50000
7111;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;1;53;USD;24773
7112;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;2;1;1;33;USD;95000
7113;Argentina;Capital Federal;Almagro;Departamento;Venta;3;2;1;54;USD;137000
7114;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;182;USD;148637
7115;Argentina;Capital Federal;Parque Centenario;Departamento;Venta;2;1;1;36;USD;95000
7116;Argentina;Capital Federal;Belgrano;Departamento;Venta;2;1;1;39;USD;133400
7117;Argentina;Capital Federal;Palermo;Departamento;Venta;4;3;3;98;USD;330000
7118;Argentina;Santa Fe;Rosario;Departamento;Venta;6;4;2;200;USD;470000
7119;Colombia;Cundinamarca;Chia;Apartamento;Venta;3;3;2;61;USD;49271
7120;Argentina;Capital Federal;Recoleta;Departamento;Venta;5;4;4;247;USD;1050000
7121;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;38;USD;69900
7122;Argentina;Santa Fe;Rosario;Departamento;Venta;4;3;2;150;USD;212000
7123;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;42;USD;156000
7124;Argentina;Santa Fe;Rosario;Departamento;Venta;3;1;1;38;USD;54000
7125;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;2;1;1;40;USD;125000
7126;Argentina;Cordoba;Cordoba;Departamento;Venta;4;1;1;45;USD;56000
7127;Argentina;Capital Federal;Almagro;Departamento;Venta;4;3;1;100;USD;174500
7128;Colombia;Antioquia;Santafe de Antioquia;Apartamento;Venta;2;2;2;60;USD;55051
7129;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;2;54;USD;101844
7130;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;68;USD;118900
7131;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;2;1;1;44;USD;79200
7132;Argentina;Capital Federal;Nunez;Departamento;Venta;5;4;3;179;USD;1199000
7133;Argentina;Capital Federal;Belgrano;Departamento;Venta;3;2;2;70;USD;200000
7134;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;50;USD;111550
7135;Argentina;Capital Federal;Caballito;Departamento;Venta;3;2;1;54;USD;139000
7136;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;65;USD;42664
7137;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;35;USD;62000
7138;Argentina;Santa Fe;Rosario;Departamento;Venta;4;2;1;59;USD;68000
7139;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;107;USD;79824
7140;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;3;2;1;48;USD;153000
7141;Argentina;Capital Federal;Flores;Departamento;Venta;3;2;1;48;USD;139000
7142;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;5;3;3;255;USD;1000000
7143;Argentina;Santa Fe;Rosario;Departamento;Venta;4;2;2;120;USD;168000
7144;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;332;USD;447788
7145;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;74;USD;160000
7146;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;90;USD;97715
7147;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;1;72;USD;230000
7148;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;69;USD;82576
7149;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;78;USD;77071
7150;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;30;USD;110000
7151;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;3;100;USD;178915
7152;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;44;USD;63900
7153;Argentina;Bs.As. G.B.A. Zona Oeste;Tres de Febrero;Departamento;Venta;2;1;1;46;USD;80000
7154;Argentina;Capital Federal;Centro / Microcentro;Departamento;Venta;4;3;1;63;USD;125000
7155;Colombia;Antioquia;Sabaneta;Apartamento;Venta;3;3;2;67;USD;60556
7156;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;77;USD;148637
7157;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;87;USD;90834
7158;Argentina;Bs.As. G.B.A. Zona Norte;Vicente Lopez;Departamento;Venta;3;2;1;61;USD;184000
7159;Colombia;Antioquia;Envigado;Apartamento;Venta;5;5;6;300;USD;269750
7160;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;42;USD;155000
7161;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;90;USD;233001
7162;Argentina;Capital Federal;Belgrano;Departamento;Venta;4;3;4;142;USD;59000
7163;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;93;USD;77071
7164;Argentina;Capital Federal;Balvanera;Departamento;Venta;5;4;1;130;USD;250000
7165;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
7166;Argentina;Capital Federal;San Telmo;Departamento;Venta;4;3;2;146;USD;550000
7167;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;1;43;USD;21401
7168;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;93;USD;88081
7169;Colombia;Antioquia;Envigado;Apartamento;Venta;1;1;1;40;USD;96890
7170;Argentina;Buenos Aires Costa Atlantica;Villa Gesell;Departamento;Venta;2;1;1;27;USD;39000
7171;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;62;USD;77071
7172;Argentina;Capital Federal;Villa Lugano;Departamento;Venta;3;2;1;50;USD;55000
7173;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;61;USD;48170
7174;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;90;USD;107349
7175;Argentina;Capital Federal;Recoleta;Departamento;Venta;4;3;2;100;USD;449000
7176;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;58;USD;38536
7177;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;55;USD;35233
7178;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;70;USD;57803
7179;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;94;USD;72942
7180;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;3;2;1;65;USD;135000
7181;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;34;USD;55000
7182;Argentina;Bs.As. G.B.A. Zona Oeste;La Matanza;Departamento;Venta;3;2;1;50;USD;130000
7183;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;77;USD;68814
7184;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
7185;Argentina;Capital Federal;San Cristobal;Departamento;Venta;3;2;1;60;USD;115000
7186;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;1;66;USD;215000
7187;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;223;USD;426645
7188;Argentina;Capital Federal;Flores;Departamento;Venta;4;3;3;118;USD;200000
7189;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;100;USD;173410
7190;Argentina;Capital Federal;Recoleta;Departamento;Venta;1;1;1;25;USD;69500
7191;Colombia;Antioquia;Envigado;Apartamento;Venta;2;2;2;65;USD;77071
